"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Small","Sollentuna","Stockholm","Sweden","3,6","14475,6","0,024887","5987","0,073484216",204,9999,1,"No"
"No","SMB Small","Örebro","Örebro","Sweden","1,8","0","0","10758","0,045218442",498,9999,2,"No"
"No","SMB Small","Not Defined","Not Defined","Sweden","1","0","0","648,46","0,101378651",11,9999,1,"No"
"No","SMB Small","Århus","Midtjylland","Denmark","6,5","62335","0,307905","139509,35","0,126181148",78,9999,33,"No"
"No","SMB Small","Bollnäs","Gävleborg","Sweden","1,3","28678","0,074941","64010,05","0,124899293",22,9999,14,"No"
"Yes","Public","Göteborg","Västra Götaland","Sweden","73,4","691428","0,72362","138610,68","0,059124088",155,9999,2,"No"
"No","SMB Mid","Oslo","Oslo","Norway","68","505240","0,153069","27856,54","0,141296801",54,9999,11,"No"
"No","SMB Small","Askøy","Hordaland","Norway","1,3","3434,6","0,321044","16383,36","0,254253096",295,9999,3,"No"
"Yes","SMB Small","Stockholm","Stockholm","Sweden","13,4","112426","0,138233","112522,83","0,108289225",8,8,10,"Yes"
"No","SMB Small","Skövde","Västra Götaland","Sweden","1,8","19602","1","139","0,091294964",222,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","0","0,013503","18144,01","0,097024307",645,666,2,"Yes"
"Yes","Corporate","Jönköping","Jönköping","Sweden","30","251700","0,016518","12047","0,044488254",518,9999,1,"No"
"No","SMB Small","Lund","Skåne","Sweden","1,8","39708","0,126995","21575,6","0,110823801",334,9999,2,"No"
"No","SMB Small","Karlshamn","Blekinge","Sweden","1,8","19602","0,115432","73515,06","0,118552444",182,621,7,"Yes"
"No","SMB Mid","Alingsås","Västra Götaland","Sweden","30","251700","0,117134","917496,17","0,114690397",1,9999,108,"No"
"No","SMB Small","Hagfors","Värmland","Sweden","6,5","61230","0,06246","9382","0,089709017",243,400,4,"Yes"
